name,items,retail_value,price,value_ratio
Tilly & Co.,"1x Tilly & Co. Tote Bag (choice of two colours)  $34.95
1x Cosmetic Clutch (choice of two colours)  $19.95
1x Swisse Chlorophyll Spearmint Flavour Superfood Liquid  $28.99
1x Klorane Shampoo with organic Centaury 25ml  $2.00
1x Natio Daily Defence Face Moisturiser SPF50+ 20ml $4.00
1x Gillette Venus ComfortGlide Razor  $16.99
1x Aqium Hand Sanitiser 60ml  $2.99
1x Skin Control Pimple Patch Starter Pack  $2.00
1x SunRice Microwave Rice Cup  $2.40
1x White Glo Professional Choice 24g  $2.99
1x Ocean Spray Craisins  $2.00
1x Ka Pod Anti Dust Mites Laundry Capsule  $2.00
1x Ar Fum 5in1 AMORE Laundry Capsule $2.00
1x Ar Fum 5in1 Eternal Laundry Capsule $2.00
1x Naked Life Energise Nootropics 250ml $2.50
1x Dinnerly Discount Voucher  $100.00
1x Bezzie Discount Voucher  $10.00
1x QV Face Gentle Cleanser 15g $0.50
1x QV Face Nurturing Night Cream 10g $0.50
1x QV Face Moisturising Day Cream 10g $0.50
1x DU'IT Tough Hands 75g $8.95",248.21,28.0,8.864642857142858
Men's Health magazine,"1x Men's Health magazine  $10.50
1x Men's Health Barrel Bag (choice of two colours) $34.95
1x Men's Health Cap  $9.95
1x Men's Health Gym Towel With Zipper Pocket  $12.95
1x Men's Health Stainless Steel Single Wall Bottle 500ml $14.95
1x BIC Flex 5 1-Handle + 1 Cartridge  $2.00
1x Aqium Hand Sanitiser 60ml  $6.95
1x White Glo Professional White Toothpaste 24g $2.99
1x Ocean Spray Craisins  $2.00
1x Chang's Gluten Free Fried Noodles  $2.35
1x Urbane Mess Beard Oils 30ml  $8.99
1x Vetta Smart Protein Pasta Sample Pack  $1.00
1x SunRice Quick Cups 250g  $2.40
1x Naked Life Energise Nootropics 250ml  $2.50
1x Bro-To Twofer Hair & Body Wash 20ml  $10.00
1x Dinnerly Discount Voucher  $100.00
1x Bezzie Discount Offer $10.00
1x Skin Control Pimple Patch Starter Pack  $2.00
1x Fisherman's Friend Mints - Peppermint $2.99
1x Berocca Sport Powder Sachet 14pk  $16.99",256.46,30.0,8.548666666666666
Sasy N Savy - Australia's Vegan Organic Skincare,"1x Sasy n Savy Spearmint & Lavender Sea Salt Foaming Cleanser 100ml  $40.00
1x Sasy n Savy Vitamin Enriched Facial Exfoliant 100ml  $45.00
1x Sasy n Savy Revive Face Lotion 100ml $55.00
1x Sasy n Savy Citrus Rose Lavender Hand and Nail Repair Creme 100ml  $38.00",178.0,30.0,5.933333333333334
UCLA,"1x UCLA Cotton Duffle Bag $40.00
1x UCLA Cotton Cap $25.00
1x UCLA Stainless Steel Drink Bottle $20.00
1x UCLA Spiral Notebook $10.00
1x UCLA Sticker $5.00
1x Berocca Sport B Vitamins and Electrolytes 14 Powder Sachets 56g $18.49
1x Stabilo Flash Highlighter Yellow 1 $3.00
1x U by Kotex Designer Series Ultrathins with Designs Regular Pads with Wings 12 Pack $4.90
1x Ocean Spray Craisins Dried Cranberries 50% Less Sugar 30g $1.79
1x Aqium Ultra Antibacterial Hand Sanitiser 60ml $3.60
1x Quest Caramel Choc Chunk Bar 60g $4.80
1x Fisherman’s Friend Peppermint Flavour Freshmint 99% Sugar Free 25g  $2.45
1x CHANG'S Long Life Noodles 250g $1.75
1x BiC Intensity Dual Tip Markers  6 Pack  $8.50
1x Calbee Harvest Snaps Baked Pea Crisps Original Salted Flavour 18g  $4.20
1x Naked Life Sparkling Nootropics 250ml  $2.50
1x Naked Life Betta Boba Bubble Tea 315ml  $4.50
1x U by Kotex Thinx Reuseable Period Undies 1 Pair   $25.00",185.48,32.0,5.79625
Western Sydney Wanderers ($15 each or 2 for $20),"1x Western Sydney Wanderers Drawstring Bag $4.99
1x Western Sydney Wanderers Scarf $24.95
1x Western Sydney Wanderers Bumper Sticker $4.70
1x Western Sydney Wanderers Rubber Keyring $5.95
1x Western Sydney Wanderers Game Day Flag $19.95
1x Western Sydney Wanderers Can Cooler $19.95",80.49,15.0,5.366
Nude by Nature Make-Up,"1x Nude by Nature Medium Cosmetic Bag $15.95
1x Nude by Nature Perfecting Primer Blur and Mattify 10ml $15.95
1x Nude by Nature Perfecting Concealer 2ml in  05 Sand $11.95
1x Natural Mineral Cover Radiant Loose Powder Foundation 4g in N4 Medium $25.95
1x Nude by Nature Translucent Loose Finishing Powder 2g in 01 Natural $12.95
1x Nude by Nature Virgin Blush 1.5g $13.95
1x Nude by Nature Satin Liquid Lipstick in 07 Orchid $22.95
1x Nude by Nature Limited Edition Mini Mineral Brush $18.95
1x Nude by Nature Survey Card Offer - $20 off orders over $50 @ nudebynature.com.au $20.00",158.6,30.0,5.286666666666666
Australis Cosmetics,"1x Australis Cosmetics Tote Bag  $15.95
1x Australis Matte & Glow Kit Powder Palette $24.95
1x Australis GRLBOSS Matte Lipstick $14.95
1x Australis GRLBOSS Lip Balm Kiss Me $4.95
1x Australis Strawberry Powder  $16.95
1x Australis GRLBOSS Satin Lipstick  $14.95
1x Australis Bye Blemish Concealer  $15.95
1x Australis Fresh and Flawless Powder Deep Golden $15.95
1x Australis All That Glitters Dazzle Me Palette $16.95",141.55,28.0,5.055357142857143
Miss Coco,"1x Miss Coco Black Faux Leather Backpack $60.00
1x Miss Coco Ribbed Dress (Choose Colour - Black or Olive and Size S/M or M/L) $40.00
1x Miss Coco Burgundy Ribbed Bucket Hat or Hair Claw Clip (Choose one) $30.00
1x Miss Coco Sunglasses (Choose Style - Black, Tortoise or Yellow) $40.00",170.0,35.0,4.857142857142857
Sydney FC ($15 each or 2 for $20),"1x Sydney FC Drawstring Bag $4.99
1x Sydney FC Scarf $24.95
1x Sydney FC Can Cooler $9.95
1x Sydney FC Bumper Sticker $4.99
1x Sydney FC Rubber Keyring $5.95
1x Sydney FC Flag $19.95
For more info including exclusive offers, competitions and behind the scenes access to the wonderful world of Showbags visit us at www.chicaneshowbags.com.au ",70.78,15.0,4.718666666666667
Gag Magic,"1x Quality Magician's Hat $4.95
1x Magic Twisty Worm- The Magical Pet $9.95
1x Magic Levitating Wand $9.95
1x Gag Snake in a Can  $12.95
1x Trick Gum $4.95
1x Whoopie Cushion $4.95
1x Chattering Teeth $9.95
1x  Magic Penetrating Object Trick with QR Code Instructions $5.95
1x Magic Vanishing Money Trick with QR Code Instructions $5.95
1x Magic Cup and Ball Trick with QR Code Instructions $5.95
1x Magic Disappearing Scarf Trick with QR Code Instructions $5.95
1x Magic Multipying Coin Trick with QR Code Instructions $5.95",87.4,20.0,4.37
Nude by Nature Skincare,"1x Nude by Nature Large Cosmetic Bag $18.95
1x Nude by Nature Energising Facial Cleanser 50ml $22.95
1x Nude by Nature Exfoliating Facial Scrub 50ml $17.95
1x Nude by Nature Daily Moisturising Lotion 15ml $17.95
1x Nude by Nature Revitalising Eye Cream 7ml $23.95
1x Nude by Nature Limited Edition Bamboo Face Washer $8.95
1x Nude by Nature Survey Card Offer - $20 off orders over $50 @ nudebynature.com.au  $20.00",130.7,30.0,4.3566666666666665
K Zone magazine,"1x K-Zone magazine  $8.99
1x K-Zone Barrel Bag (choice of two colours)  $15.95
1x K-Zone Maze Cube Mini  $3.95
1x Panini FIFA 2022 Qatar World Cup Sticker Collection Booster Pack $2.95
1x Kinetic Sand Sampler Pack $1.00
1x Topps UEFA Champions League 2021/2022 Edition Pack x 2 $8.00
1x BIC Intensity Premium Colouring Pencil - Pack of 36 Fashion Assorted Wood Colour Pencils  $18.00
1x Paper Mate Flair Felt Tip Pens 2pk $4.00
1x Skandar & The Unicorn Thief Chapter Sampler  $0.50
1x Grimwood Mini Book  $0.50
2x Formula One x Turbo Attax Trading Cards $2.00
1x Crayola Washable Gel Pens 14pc $17.55",85.39,20.0,4.2695
The Pooch showbag - for the dog lovers!,"1x The Pooch Tote Bag  $4.95
2x KONG Squeezz Tennis Balls  $5.99
1x Aqium Hand Sanitiser 60ml  $2.99
1x Bow Wow Protein Bar  $2.95
1x Northfolk Hand Sanitiser 500ml  $9.10
1x Ka Pod Anti Dust Mites Laundry Capsule 2pk $2.00
1x Whimzees Brushzees Medium 2pk  $4.99
1x Wellness CORE Savoury Medleys 85g $3.69
1x Prime 100 SPD ZeroG Dog Food  $2.00
1x Nature's Miracle Puppy Shampoo 473ml  $24.99
1x Woofin' Good Chunks In Jelly Beef & Veg Dog Food Pouch 100g  $1.50
1x Advance Dog Food Wet Tray 100g $2.30
1x Pet Circle www.petcircle.com.au Discount Offer $15.00
1x Bezzie Discount Voucher  $10.00
1x www.dogooddoggy.com.au Discount Offer  $20.00",118.44,28.0,4.2299999999999995
The Kitty showbag - for the cat lover!,"1x The Kitty Tote Bag  $4.95
1x KONG Cat ZoomGroom Brush  $17.49
1x Aqium Hand Sanitiser 60ml  $2.99
1x Ka Pod Anti Dust Mites Laundry Capsule  $2.00
1x Nature's Miracle Just For Cats Scratching Deterrent Spray 236ml $17.84
1x CORE Dry Cat Turkey & Duck Food 900g $32.99
1x Wellness CORE Tender Cuts 85g $2.99
1x Prime Pantry SPT Nibbles 40g $2.86
1x PURR Cat Food Pouch 85g $0.95
1x Advance Cat Food Pouch 85g $1.80
3x Hill's Science Diet Cat Food Pouch 85g $1.80
1x Breeder's Choice Kitty Litter 3L $2.00
1x The Kitty 'Kirby' Mug  $7.95
1x www.petcircle.com.au Discount Voucher  $15.00",117.21,28.0,4.186071428571428
LULU - one who is remarkable and wonderful,"1x LULU Tote Bag (choice of two colours)  $19.95
1x T-Shirt Dress (free size) $16.95
1x NYX Professional Make Up Lip Color Vault  $49.99
1x 3M Post-it® Extreme Notes  $6.56
1x Aqium Hand Sanitiser 60ml  $2.99
1x Skin Control Pimple Patch Starter Pack  $2.00
1x Columbia Pencil Copperplate Hex 2B pack $2.30
1x Cancer Council Face Day Fluid Matte SPF 50+ Sample $2.00
1x White Glo Professional Choice Toothpaste 24g $2.99
1x Paper Mate Flair Felt Tip Pens 2pc  $4.00
1x Scunci Head Band Non Slip  $7.95
1x ColourHide Chunky Notebook  $6.50
1x Batiste LUXE Dry Shampoo 50ml $3.99
1x UBK Sport Super Ultrathins 10s $4.45",132.62,32.0,4.144375
Total Girl magazine,"1x Total Girl HOLO Backpack  $34.95
1x Total Girl magazine  $8.99
1x Quirky Feet Socks (choice of two patterns) $11.95
1x Skander & The Unicorn Thief Chapter Sampler  $0.50
1x Grimwood Mini Book  $0.50
1x BIC Intensity Premium Colouring Pencil - Pack of 36 Fashion Assorted Wood Colour Pencils  $18.00
1x Harry Potter Magical Mini Doll (assorted characters) $8.99
1x Paper Mate Flair Felt Tip Pens 2pc $4.00
1x Chang's Original Fried Noodles  $1.70
1x Crayola Take Note Highlighters $10.00
1x Disney STIX Artline Blind Pack  $4.10",103.68,28.0,3.7028571428571433
DB GIRL Cosmetics,"1x DB Girls tote bag  $3.95
1x DB The Tropics All In One Face Palette $14.99
1x DB Deluxe Shower Cap Pink Champagne  $16.99
1x DB Nail Polish Twinkle Twinkle Periwinkle  $5.99
1x DB Nail Polish Pink Ballet  $5.99
1x DB Elixir Sheer Lip - Pale Pink  $11.99
1x DB Make Em' Blush - Pink Glow  $14.99
1x DB Manicure Tool Set $6.99
1x www.dbcosmetics.com.au Discount Voucher $10.00",91.88,25.0,3.6752
Kids Creation Station,"1x Kids Creation Station Canvas Art Bag $14.95
1x Kids Creation Station Art Smock $24.95
1x Kids Creation Station 153 Piece Art Set $49.95
1x Kids Creation Station 64 Page Scrap Book $19.95",109.8,30.0,3.6599999999999997
Designer Brands Cosmetics Showbag,"1x DB Cosmetics Tote Bag  $3.95
1x DB The Tropics All In One Face Palette - Feeling Shady $14.99
1x DB Fragrance - Modern Goddess $9.99
1x DB Garden Party Lip Trio  $16.99
1x DB Deluxe Shower Cap Black Onyx  $16.99
1x DB Nail Polish A Minute to Midnight  $5.99
1x DB Lash Extend Mascara In Black Brown  $11.99
1x www.dbcosmetics.com.au Discount Voucher  $10.00",90.89,25.0,3.6356
